reg,lpo,sim
1,1.5,111
1,1.5062162162162163,111
1,1.5124324324324325,111
1,1.5186486486486486,111
1,1.5248648648648648,111
1,1.531081081081081,111
1,1.5372972972972974,111
1,1.5435135135135134,111
1,1.5497297297297297,111
1,1.555945945945946,111
1,1.5621621621621622,111
1,1.5683783783783785,111
1,1.5745945945945945,111
1,1.5808108108108108,111
1,1.587027027027027,111
1,1.5932432432432433,111
1,1.5994594594594593,111
1,1.6056756756756756,111
1,1.6118918918918919,111
1,1.6181081081081081,111
1,1.6243243243243244,111
1,1.6305405405405404,111
1,1.6367567567567567,111
1,1.642972972972973,111
1,1.6491891891891892,111
1,1.6554054054054053,111
1,1.6616216216216215,111
1,1.6678378378378378,111
1,1.674054054054054,111
1,1.6802702702702703,111
1,1.6864864864864866,111
1,1.6927027027027026,111
1,1.6989189189189189,111
1,1.7051351351351351,111
1,1.7113513513513512,111
1,1.7175675675675675,111
1,1.7237837837837837,111
1,1.73,111
1,1.7362162162162162,111
1,1.7424324324324325,111
1,1.7486486486486486,111
1,1.7548648648648648,111
1,1.761081081081081,111
1,1.7672972972972971,111
1,1.7735135135135134,111
1,1.7797297297297296,111
1,1.785945945945946,111
1,1.7921621621621622,111
1,1.7983783783783784,111
1,1.8045945945945945,111
1,1.8108108108108107,111
1,1.817027027027027,111
1,1.823243243243243,111
1,1.8294594594594593,111
1,1.8356756756756756,111
1,1.8418918918918918,111
1,1.848108108108108,111
1,1.8543243243243244,111
1,1.8605405405405404,111
1,1.8667567567567567,111
1,1.872972972972973,111
1,1.8791891891891892,111
1,1.8854054054054052,111
1,1.8916216216216215,111
1,1.8978378378378378,111
1,1.904054054054054,111
1,1.9102702702702703,111
1,1.9164864864864863,111
1,1.9227027027027026,111
1,1.9289189189189189,111
1,1.9351351351351351,111
1,1.9413513513513512,111
1,1.9475675675675674,111
1,1.9537837837837837,111
1,1.96,111
1,1.9662162162162162,111
1,1.9724324324324325,111
1,1.9786486486486485,111
1,1.9848648648648648,111
1,1.991081081081081,111
1,1.997297297297297,111
1,2.0035135135135134,111
1,2.0097297297297296,111
1,2.015945945945946,111
1,2.022162162162162,111
1,2.0283783783783784,111
1,2.0345945945945942,111
1,2.040810810810811,111
1,2.0470270270270268,111
1,2.053243243243243,111
1,2.0594594594594593,111
1,2.0656756756756756,111
1,2.071891891891892,111
1,2.078108108108108,111
1,2.0843243243243244,111
1,2.09054054054054,111
1,2.096756756756757,111
1,2.1029729729729727,111
1,2.109189189189189,111
1,2.1154054054054052,111
1,2.1216216216216215,111
1,2.1278378378378378,111
1,2.134054054054054,111
1,2.1402702702702703,111
1,2.146486486486486,111
1,2.152702702702703,111
1,2.1589189189189186,111
1,2.165135135135135,111
1,2.171351351351351,111
1,2.1775675675675674,111
1,2.1837837837837837,111
1,2.19,111
1,2.196216216216216,111
1,2.2024324324324325,111
1,2.2086486486486487,111
1,2.2148648648648646,111
1,2.221081081081081,111
1,2.227297297297297,111
1,2.2335135135135133,111
1,2.2397297297297296,111
1,2.245945945945946,111
1,2.252162162162162,111
1,2.2583783783783784,111
1,2.2645945945945947,111
1,2.2708108108108105,111
1,2.2770270270270268,111
1,2.283243243243243,111
1,2.2894594594594593,111
1,2.2956756756756755,111
1,2.301891891891892,111
1,2.308108108108108,111
1,2.3143243243243243,111
1,2.3205405405405406,111
1,2.3267567567567564,111
1,2.3329729729729727,111
1,2.339189189189189,111
1,2.345405405405405,111
1,2.3516216216216215,111
1,2.3578378378378377,111
1,2.364054054054054,111
1,2.3702702702702703,111
1,2.3764864864864865,111
1,2.3827027027027023,111
1,2.3889189189189186,111
1,2.395135135135135,111
1,2.401351351351351,111
1,2.4075675675675674,111
1,2.4137837837837837,111
1,2.42,111
1,2.426216216216216,111
1,2.4324324324324325,111
1,2.4386486486486483,111
1,2.444864864864865,111
1,2.451081081081081,111
1,2.457297297297297,111
1,2.4635135135135133,111
1,2.4697297297297296,111
1,2.475945945945946,111
1,2.482162162162162,111
1,2.4883783783783784,111
1,2.494594594594594,111
1,2.500810810810811,111
1,2.5070270270270267,111
1,2.513243243243243,111
1,2.5194594594594593,111
1,2.5256756756756755,111
1,2.531891891891892,111
1,2.5381081081081076,111
1,2.5443243243243243,111
1,2.55054054054054,111
1,2.556756756756757,111
1,2.5629729729729727,111
1,2.569189189189189,111
1,2.575405405405405,111
1,2.5816216216216215,111
1,2.5878378378378377,111
1,2.594054054054054,111
1,2.6002702702702702,111
1,2.606486486486486,111
1,2.6127027027027028,111
1,2.6189189189189186,111
1,2.625135135135135,111
1,2.631351351351351,111
1,2.6375675675675674,111
1,2.6437837837837836,111
1,2.65,111
1,2.656216216216216,111
1,2.662432432432432,111
1,2.6686486486486487,111
1,2.6748648648648645,111
1,2.681081081081081,111
1,2.687297297297297,111
1,2.6935135135135133,111
1,2.6997297297297296,111
1,2.705945945945946,111
1,2.712162162162162,111
1,2.718378378378378,111
1,2.7245945945945946,111
1,2.7308108108108105,111
1,2.7370270270270267,111
1,2.743243243243243,111
1,2.7494594594594592,111
1,2.7556756756756755,111
1,2.7618918918918918,111
1,2.768108108108108,111
1,2.774324324324324,111
1,2.7805405405405406,111
1,2.7867567567567564,111
1,2.7929729729729726,111
1,2.799189189189189,111
1,2.805405405405405,111
1,2.8116216216216214,111
1,2.8178378378378377,111
1,2.824054054054054,111
1,2.83027027027027,111
1,2.8364864864864865,111
1,2.8427027027027023,111
1,2.848918918918919,111
1,2.855135135135135,111
1,2.861351351351351,111
1,2.8675675675675674,111
1,2.8737837837837836,111
1,2.88,111
1,2.8862162162162157,111
1,2.8924324324324324,111
1,2.8986486486486482,111
1,2.904864864864865,111
1,2.9110810810810808,110
1,2.917297297297297,110
1,2.9235135135135133,110
1,2.9297297297297296,110
1,2.935945945945946,110
1,2.9421621621621616,110
1,2.9483783783783784,110
1,2.954594594594594,110
1,2.960810810810811,110
1,2.9670270270270267,110
1,2.973243243243243,110
1,2.9794594594594592,110
1,2.9856756756756755,110
1,2.9918918918918918,110
1,2.9981081081081076,110
1,3.0043243243243243,110
1,3.01054054054054,110
1,3.016756756756757,110
1,3.0229729729729726,110
1,3.029189189189189,110
1,3.035405405405405,110
1,3.0416216216216214,110
1,3.0478378378378377,109
1,3.0540540540540535,109
1,3.06027027027027,109
1,3.066486486486486,109
1,3.0727027027027027,109
1,3.0789189189189186,109
1,3.085135135135135,109
1,3.091351351351351,109
1,3.0975675675675673,109
1,3.1037837837837836,109
1,3.1099999999999994,109
1,3.116216216216216,108
1,3.122432432432432,108
1,3.1286486486486487,108
1,3.1348648648648645,108
1,3.1410810810810808,108
1,3.147297297297297,108
1,3.1535135135135133,108
1,3.1597297297297295,107
1,3.1659459459459454,107
1,3.172162162162162,107
1,3.178378378378378,107
1,3.1845945945945946,107
1,3.1908108108108104,107
1,3.1970270270270267,106
1,3.203243243243243,106
1,3.209459459459459,106
1,3.2156756756756755,106
1,3.2218918918918913,105
1,3.228108108108108,105
1,3.234324324324324,105
1,3.2405405405405405,105
1,3.2467567567567563,104
1,3.2529729729729726,104
1,3.259189189189189,104
1,3.265405405405405,104
1,3.2716216216216214,103
1,3.277837837837837,103
1,3.284054054054054,103
1,3.2902702702702697,102
1,3.2964864864864865,102
1,3.3027027027027023,102
1,3.3089189189189185,101
1,3.315135135135135,101
1,3.321351351351351,100
1,3.3275675675675673,100
1,3.333783783783783,100
1,3.34,99
1,3.3462162162162157,99
1,3.3524324324324324,98
1,3.358648648648648,98
1,3.3648648648648645,97
1,3.3710810810810807,97
1,3.377297297297297,97
1,3.3835135135135133,96
1,3.3897297297297295,96
1,3.395945945945946,95
