reg,conc,sim
1,1.4802973661668753e-16,3695
1,0.004504504504504653,3695
1,0.009009009009009156,3696
1,0.013513513513513662,3698
1,0.018018018018018167,3700
1,0.02252252252252267,3701
1,0.027027027027027178,3704
1,0.031531531531531674,3706
1,0.03603603603603618,3708
1,0.04054054054054069,3711
1,0.04504504504504519,3714
1,0.049549549549549696,3717
1,0.0540540540540542,3720
1,0.0585585585585587,3723
1,0.06306306306306321,3726
1,0.06756756756756772,3730
1,0.07207207207207222,3733
1,0.07657657657657672,3737
1,0.08108108108108124,3741
1,0.08558558558558574,3744
1,0.09009009009009024,3748
1,0.09459459459459475,3752
1,0.09909909909909925,3757
1,0.10360360360360375,3761
1,0.10810810810810827,3765
1,0.11261261261261277,3770
1,0.11711711711711727,3774
1,0.12162162162162177,3779
1,0.12612612612612625,3784
1,0.13063063063063077,3788
1,0.13513513513513528,3793
1,0.13963963963963977,3798
1,0.14414414414414428,3803
1,0.1486486486486488,3808
1,0.15315315315315328,3814
1,0.1576576576576578,3819
1,0.1621621621621623,3824
1,0.1666666666666668,3830
1,0.1711711711711713,3835
1,0.17567567567567582,3841
1,0.1801801801801803,3846
1,0.18468468468468482,3852
1,0.18918918918918934,3858
1,0.19369369369369382,3864
1,0.19819819819819834,3870
1,0.20270270270270285,3876
1,0.20720720720720734,3882
1,0.21171171171171185,3888
1,0.21621621621621637,3894
1,0.22072072072072085,3900
1,0.22522522522522537,3907
1,0.22972972972972985,3913
1,0.23423423423423437,3919
1,0.23873873873873888,3926
1,0.24324324324324337,3933
1,0.24774774774774788,3939
1,0.2522522522522524,3946
1,0.2567567567567569,3953
1,0.2612612612612614,3959
1,0.26576576576576594,3966
1,0.27027027027027045,3973
1,0.27477477477477497,3980
1,0.2792792792792794,3987
1,0.28378378378378394,3994
1,0.28828828828828845,4001
1,0.29279279279279297,4009
1,0.2972972972972975,4016
1,0.30180180180180194,4023
1,0.30630630630630645,4031
1,0.31081081081081097,4038
1,0.3153153153153155,4046
1,0.31981981981982,4053
1,0.3243243243243245,4061
1,0.32882882882882897,4068
1,0.3333333333333335,4076
1,0.337837837837838,4084
1,0.3423423423423425,4092
1,0.346846846846847,4100
1,0.35135135135135154,4107
1,0.355855855855856,4115
1,0.3603603603603605,4123
1,0.364864864864865,4131
1,0.36936936936936954,4140
1,0.37387387387387405,4148
1,0.37837837837837857,4156
1,0.382882882882883,4164
1,0.38738738738738754,4173
1,0.39189189189189205,4181
1,0.39639639639639657,4189
1,0.4009009009009011,4198
1,0.4054054054054056,4206
1,0.40990990990991005,4215
1,0.41441441441441457,4223
1,0.4189189189189191,4232
1,0.4234234234234236,4241
1,0.4279279279279281,4249
1,0.4324324324324326,4258
1,0.4369369369369371,4267
1,0.4414414414414416,4276
1,0.4459459459459461,4285
1,0.4504504504504506,4294
1,0.45495495495495514,4303
1,0.4594594594594596,4312
1,0.4639639639639641,4321
1,0.4684684684684686,4330
1,0.47297297297297314,4339
1,0.47747747747747765,4348
1,0.48198198198198217,4358
1,0.4864864864864866,4367
1,0.49099099099099114,4376
1,0.49549549549549565,4386
1,0.5000000000000001,4395
1,0.5045045045045046,4405
1,0.5090090090090091,4414
1,0.5135135135135136,4424
1,0.5180180180180182,4433
1,0.5225225225225226,4443
1,0.5270270270270271,4453
1,0.5315315315315317,4463
1,0.5360360360360361,4472
1,0.5405405405405407,4482
1,0.5450450450450451,4492
1,0.5495495495495497,4502
1,0.5540540540540542,4512
1,0.5585585585585586,4522
1,0.5630630630630632,4532
1,0.5675675675675677,4542
1,0.5720720720720722,4552
1,0.5765765765765767,4562
1,0.5810810810810811,4572
1,0.5855855855855857,4583
1,0.5900900900900902,4593
1,0.5945945945945947,4603
1,0.5990990990990992,4613
1,0.6036036036036037,4624
1,0.6081081081081082,4634
1,0.6126126126126127,4645
1,0.6171171171171173,4655
1,0.6216216216216217,4666
1,0.6261261261261263,4676
1,0.6306306306306307,4687
1,0.6351351351351352,4698
1,0.6396396396396398,4708
1,0.6441441441441442,4719
1,0.6486486486486488,4730
1,0.6531531531531533,4741
1,0.6576576576576577,4751
1,0.6621621621621623,4762
1,0.6666666666666667,4773
1,0.6711711711711713,4784
1,0.6756756756756758,4795
1,0.6801801801801803,4806
1,0.6846846846846848,4817
1,0.6891891891891893,4828
1,0.6936936936936938,4839
1,0.6981981981981983,4851
1,0.7027027027027029,4862
1,0.7072072072072073,4873
1,0.7117117117117118,4884
1,0.7162162162162163,4896
1,0.7207207207207208,4907
1,0.7252252252252254,4918
1,0.7297297297297298,4930
1,0.7342342342342343,4941
1,0.7387387387387389,4953
1,0.7432432432432433,4964
1,0.7477477477477479,4976
1,0.7522522522522523,4987
1,0.7567567567567569,4999
1,0.7612612612612614,5011
1,0.7657657657657658,5022
1,0.7702702702702704,5034
1,0.7747747747747749,5046
1,0.7792792792792794,5058
1,0.7837837837837839,5069
1,0.7882882882882883,5081
1,0.7927927927927929,5093
1,0.7972972972972974,5105
1,0.8018018018018019,5117
1,0.8063063063063064,5129
1,0.810810810810811,5141
1,0.8153153153153154,5153
1,0.8198198198198199,5165
1,0.8243243243243245,5177
1,0.8288288288288289,5189
1,0.8333333333333335,5202
1,0.8378378378378379,5214
1,0.8423423423423424,5226
1,0.846846846846847,5238
1,0.8513513513513514,5251
1,0.855855855855856,5263
1,0.8603603603603605,5276
1,0.864864864864865,5288
1,0.8693693693693695,5300
1,0.8738738738738739,5313
1,0.8783783783783785,5325
1,0.882882882882883,5338
1,0.8873873873873875,5351
1,0.891891891891892,5363
1,0.8963963963963965,5376
1,0.900900900900901,5389
1,0.9054054054054055,5401
1,0.90990990990991,5414
1,0.9144144144144145,5427
1,0.918918918918919,5440
1,0.9234234234234235,5452
1,0.927927927927928,5465
1,0.9324324324324326,5478
1,0.936936936936937,5491
1,0.9414414414414416,5504
1,0.945945945945946,5517
1,0.9504504504504505,5530
1,0.9549549549549551,5543
1,0.9594594594594595,5556
1,0.9639639639639641,5569
1,0.9684684684684686,5583
1,0.972972972972973,5596
1,0.9774774774774776,5609
1,0.981981981981982,5622
1,0.9864864864864866,5636
1,0.9909909909909911,5649
1,0.9954954954954957,5662
1,1.0000000000000002,5676
1,1.0045045045045047,5689
1,1.0090090090090091,5702
1,1.0135135135135138,5716
1,1.0180180180180183,5729
1,1.0225225225225227,5743
1,1.0270270270270272,5756
1,1.0315315315315317,5770
1,1.0360360360360363,5784
1,1.0405405405405408,5797
1,1.0450450450450453,5811
1,1.0495495495495497,5824
1,1.0540540540540542,5838
1,1.0585585585585588,5852
1,1.0630630630630633,5866
1,1.0675675675675678,5880
1,1.0720720720720722,5893
1,1.0765765765765767,5907
1,1.0810810810810814,5921
1,1.0855855855855858,5935
1,1.0900900900900903,5949
1,1.0945945945945947,5963
1,1.0990990990990994,5977
1,1.1036036036036039,5991
1,1.1081081081081083,6005
1,1.1126126126126128,6019
1,1.1171171171171173,6033
1,1.121621621621622,6048
1,1.1261261261261264,6062
1,1.1306306306306309,6076
1,1.1351351351351353,6090
1,1.1396396396396398,6104
1,1.1441441441441444,6119
1,1.148648648648649,6133
1,1.1531531531531534,6147
1,1.1576576576576578,6162
1,1.1621621621621623,6176
1,1.166666666666667,6191
1,1.1711711711711714,6205
1,1.1756756756756759,6220
1,1.1801801801801803,6234
1,1.1846846846846848,6249
