reg,fv_fm,sim
1,0,15
1,0.001001001001001001,16
1,0.002002002002002002,16
1,0.003003003003003003,16
1,0.004004004004004004,16
1,0.005005005005005005,16
1,0.006006006006006006,16
1,0.007007007007007007,16
1,0.008008008008008008,16
1,0.009009009009009009,16
1,0.01001001001001001,16
1,0.011011011011011011,16
1,0.012012012012012012,16
1,0.013013013013013013,16
1,0.014014014014014014,17
1,0.015015015015015015,17
1,0.016016016016016016,17
1,0.017017017017017015,17
1,0.018018018018018018,17
1,0.01901901901901902,17
1,0.02002002002002002,17
1,0.02102102102102102,17
1,0.022022022022022022,17
1,0.023023023023023025,17
1,0.024024024024024024,17
1,0.025025025025025023,17
1,0.026026026026026026,17
1,0.02702702702702703,18
1,0.028028028028028028,18
1,0.029029029029029027,18
1,0.03003003003003003,18
1,0.031031031031031032,18
1,0.03203203203203203,18
1,0.03303303303303303,18
1,0.03403403403403403,18
1,0.035035035035035036,18
1,0.036036036036036036,18
1,0.037037037037037035,18
1,0.03803803803803804,18
1,0.03903903903903904,19
1,0.04004004004004004,19
1,0.04104104104104104,19
1,0.04204204204204204,19
1,0.043043043043043044,19
1,0.044044044044044044,19
1,0.04504504504504504,19
1,0.04604604604604605,19
1,0.04704704704704705,19
1,0.04804804804804805,19
1,0.04904904904904905,19
1,0.050050050050050046,19
1,0.05105105105105105,20
1,0.05205205205205205,20
1,0.05305305305305305,20
1,0.05405405405405406,20
1,0.055055055055055056,20
1,0.056056056056056056,20
1,0.057057057057057055,20
1,0.058058058058058054,20
1,0.05905905905905906,20
1,0.06006006006006006,20
1,0.06106106106106106,20
1,0.062062062062062065,20
1,0.06306306306306306,21
1,0.06406406406406406,21
1,0.06506506506506507,21
1,0.06606606606606606,21
1,0.06706706706706707,21
1,0.06806806806806806,21
1,0.06906906906906907,21
1,0.07007007007007007,21
1,0.07107107107107107,21
1,0.07207207207207207,21
1,0.07307307307307308,21
1,0.07407407407407407,22
1,0.07507507507507508,22
1,0.07607607607607608,22
1,0.07707707707707707,22
1,0.07807807807807808,22
1,0.07907907907907907,22
1,0.08008008008008008,22
1,0.08108108108108109,22
1,0.08208208208208208,22
1,0.08308308308308308,22
1,0.08408408408408408,22
1,0.08508508508508508,23
1,0.08608608608608609,23
1,0.08708708708708708,23
1,0.08808808808808809,23
1,0.0890890890890891,23
1,0.09009009009009009,23
1,0.09109109109109109,23
1,0.0920920920920921,23
1,0.09309309309309309,23
1,0.0940940940940941,23
1,0.09509509509509509,23
1,0.0960960960960961,24
1,0.0970970970970971,24
1,0.0980980980980981,24
1,0.0990990990990991,24
1,0.10010010010010009,24
1,0.1011011011011011,24
1,0.1021021021021021,24
1,0.1031031031031031,24
1,0.1041041041041041,24
1,0.10510510510510511,24
1,0.1061061061061061,25
1,0.10710710710710711,25
1,0.10810810810810811,25
1,0.1091091091091091,25
1,0.11011011011011011,25
1,0.1111111111111111,25
1,0.11211211211211211,25
1,0.11311311311311312,25
1,0.11411411411411411,25
1,0.11511511511511512,25
1,0.11611611611611611,26
1,0.11711711711711711,26
1,0.11811811811811812,26
1,0.11911911911911911,26
1,0.12012012012012012,26
1,0.12112112112112113,26
1,0.12212212212212212,26
1,0.12312312312312312,26
1,0.12412412412412413,26
1,0.12512512512512514,26
1,0.12612612612612611,27
1,0.12712712712712712,27
1,0.12812812812812813,27
1,0.12912912912912913,27
1,0.13013013013013014,27
1,0.13113113113113112,27
1,0.13213213213213212,27
1,0.13313313313313313,27
1,0.13413413413413414,27
1,0.13513513513513514,27
1,0.13613613613613612,28
1,0.13713713713713713,28
1,0.13813813813813813,28
1,0.13913913913913914,28
1,0.14014014014014015,28
1,0.14114114114114115,28
1,0.14214214214214213,28
1,0.14314314314314314,28
1,0.14414414414414414,28
1,0.14514514514514515,29
1,0.14614614614614616,29
1,0.14714714714714713,29
1,0.14814814814814814,29
1,0.14914914914914915,29
1,0.15015015015015015,29
1,0.15115115115115116,29
1,0.15215215215215216,29
1,0.15315315315315314,29
1,0.15415415415415415,30
1,0.15515515515515516,30
1,0.15615615615615616,30
1,0.15715715715715717,30
1,0.15815815815815815,30
1,0.15915915915915915,30
1,0.16016016016016016,30
1,0.16116116116116116,30
1,0.16216216216216217,30
1,0.16316316316316315,31
1,0.16416416416416416,31
1,0.16516516516516516,31
1,0.16616616616616617,31
1,0.16716716716716717,31
1,0.16816816816816815,31
1,0.16916916916916916,31
1,0.17017017017017017,31
1,0.17117117117117117,31
1,0.17217217217217218,32
1,0.17317317317317318,32
1,0.17417417417417416,32
1,0.17517517517517517,32
1,0.17617617617617617,32
1,0.17717717717717718,32
1,0.1781781781781782,32
1,0.17917917917917917,32
1,0.18018018018018017,32
1,0.18118118118118118,33
1,0.18218218218218218,33
1,0.1831831831831832,33
1,0.1841841841841842,33
1,0.18518518518518517,33
1,0.18618618618618618,33
1,0.1871871871871872,33
1,0.1881881881881882,33
1,0.1891891891891892,33
1,0.19019019019019018,34
1,0.19119119119119118,34
1,0.1921921921921922,34
1,0.1931931931931932,34
1,0.1941941941941942,34
1,0.19519519519519518,34
1,0.1961961961961962,34
1,0.1971971971971972,34
1,0.1981981981981982,34
1,0.1991991991991992,35
1,0.20020020020020018,35
1,0.2012012012012012,35
1,0.2022022022022022,35
1,0.2032032032032032,35
1,0.2042042042042042,35
1,0.20520520520520522,35
1,0.2062062062062062,35
1,0.2072072072072072,36
1,0.2082082082082082,36
1,0.2092092092092092,36
1,0.21021021021021022,36
1,0.2112112112112112,36
1,0.2122122122122122,36
1,0.2132132132132132,36
1,0.21421421421421422,36
1,0.21521521521521522,37
1,0.21621621621621623,37
1,0.2172172172172172,37
1,0.2182182182182182,37
1,0.21921921921921922,37
1,0.22022022022022023,37
1,0.22122122122122123,37
1,0.2222222222222222,37
1,0.22322322322322322,38
1,0.22422422422422422,38
1,0.22522522522522523,38
1,0.22622622622622623,38
1,0.2272272272272272,38
1,0.22822822822822822,38
1,0.22922922922922923,38
1,0.23023023023023023,38
1,0.23123123123123124,38
1,0.23223223223223222,39
1,0.23323323323323322,39
1,0.23423423423423423,39
1,0.23523523523523523,39
1,0.23623623623623624,39
1,0.23723723723723725,39
1,0.23823823823823823,39
1,0.23923923923923923,39
1,0.24024024024024024,40
1,0.24124124124124124,40
1,0.24224224224224225,40
1,0.24324324324324323,40
1,0.24424424424424424,40
1,0.24524524524524524,40
1,0.24624624624624625,40
1,0.24724724724724725,41
1,0.24824824824824826,41
1,0.24924924924924924,41
1,0.2502502502502503,41
1,0.25125125125125125,41
1,0.25225225225225223,41
1,0.25325325325325326,41
1,0.25425425425425424,41
1,0.2552552552552553,42
1,0.25625625625625625,42
1,0.25725725725725723,42
1,0.25825825825825827,42
1,0.25925925925925924,42
1,0.2602602602602603,42
1,0.26126126126126126,42
1,0.26226226226226224,42
1,0.26326326326326327,43
1,0.26426426426426425,43
1,0.2652652652652653,43
1,0.26626626626626626,43
1,0.26726726726726724,43
1,0.2682682682682683,43
1,0.26926926926926925,43
1,0.2702702702702703,43
1,0.27127127127127126,44
1,0.27227227227227224,44
1,0.2732732732732733,44
1,0.27427427427427425,44
1,0.2752752752752753,44
1,0.27627627627627627,44
1,0.2772772772772773,44
1,0.2782782782782783,45
1,0.27927927927927926,45
1,0.2802802802802803,45
1,0.28128128128128127,45
1,0.2822822822822823,45
1,0.2832832832832833,45
1,0.28428428428428426,45
1,0.2852852852852853,45
1,0.2862862862862863,46
1,0.2872872872872873,46
1,0.2882882882882883,46
1,0.28928928928928926,46
1,0.2902902902902903,46
1,0.2912912912912913,46
1,0.2922922922922923,46
1,0.2932932932932933,47
1,0.29429429429429427,47
1,0.2952952952952953,47
1,0.2962962962962963,47
1,0.2972972972972973,47
1,0.2982982982982983,47
1,0.29929929929929927,47
1,0.3003003003003003,48
1,0.3013013013013013,48
1,0.3023023023023023,48
1,0.3033033033033033,48
1,0.30430430430430433,48
1,0.3053053053053053,48
1,0.3063063063063063,48
1,0.3073073073073073,48
1,0.3083083083083083,49
1,0.30930930930930933,49
1,0.3103103103103103,49
1,0.3113113113113113,49
1,0.3123123123123123,49
1,0.3133133133133133,49
1,0.31431431431431434,49
1,0.3153153153153153,50
1,0.3163163163163163,50
1,0.3173173173173173,50
1,0.3183183183183183,50
1,0.31931931931931934,50
1,0.3203203203203203,50
1,0.3213213213213213,50
1,0.32232232232232233,51
1,0.3233233233233233,51
1,0.32432432432432434,51
1,0.3253253253253253,51
1,0.3263263263263263,51
1,0.32732732732732733,51
1,0.3283283283283283,51
1,0.32932932932932935,52
1,0.3303303303303303,52
1,0.3313313313313313,52
1,0.33233233233233234,52
1,0.3333333333333333,52
1,0.33433433433433435,52
1,0.3353353353353353,52
1,0.3363363363363363,53
1,0.33733733733733734,53
1,0.3383383383383383,53
1,0.33933933933933935,53
1,0.34034034034034033,53
1,0.34134134134134136,53
1,0.34234234234234234,53
1,0.3433433433433433,54
1,0.34434434434434436,54
1,0.34534534534534533,54
