reg,oxphos,sim
1,2012,0.851069935837856
1,2025,0.8564093157822992
1,2039,0.8623220921664148
1,2053,0.8684070764291396
1,2067,0.8746679027431525
1,2081,0.8811082462589198
1,2095,0.8877318226707308
1,2109,0.8945423877500884
1,2122,0.901037231935564
1,2136,0.9082191701398689
1,2150,0.9155993217216872
1,2164,0.9231815947323383
1,2178,0.9309699344987468
1,2192,0.9389683229481356
1,2206,0.9471807778949992
1,2220,0.9556113522896433
1,2233,0.9636386208668137
1,2247,0.9725014259439986
1,2261,0.9815944142903985
1,2275,0.9909217688566755
1,2289,1.0004877034410027
1,2303,1.0102964616958134
1,2317,1.0203523160915502
1,2331,1.0306595668368193
1,2344,1.0404594693562386
1,2358,1.0512637970379726
1,2372,1.0623322632756804
1,2386,1.0736692659426703
1,2400,1.0852792246729297
1,2414,1.0971665795119379
1,2428,1.1093357895204612
1,2442,1.1217913313309666
1,2455,1.1336175022147872
1,2469,1.1466379554218995
1,2483,1.1599579373382005
1,2497,1.1735819787353226
1,2511,1.187514620139443
1,2525,1.2017604101012171
1,2539,1.2163239034168507
1,2553,1.2312096593002817
1,2566,1.2453246908035778
1,2580,1.2608448359394262
1,2594,1.2767006030818737
1,2608,1.2928965501713083
1,2622,1.3094372298456145
1,2636,1.3263271873248657
1,2650,1.343570958248466
1,2663,1.3599037931530003
1,2677,1.3778426815903235
1,2691,1.3961485902053399
1,2705,1.4148259951665445
1,2719,1.4338793517245316
1,2733,1.453313091778694
1,2747,1.4731316214009085
1,2761,1.493339318317154
1,2774,1.5124558719047378
1,2788,1.533426351833062
1,2802,1.5547986321085119
1,2816,1.5765769539484742
1,2830,1.5987655172354467
1,2844,1.621368477773274
1,2858,1.6443899445101997
1,2872,1.667833976730348
1,2885,1.6899853069416904
1,2899,1.7142555535966693
1,2913,1.7389599409921968
1,2927,1.764102305568033
1,2941,1.7896864198571578
1,2955,1.815715989528162
1,2969,1.8421946504097233
1,2983,1.8691259654994965
1,2996,1.894541974809486
1,3010,1.9223560446724453
1,3024,1.9506327558334835
1,3038,1.9793753559941023
1,3052,2.008587005139055
1,3066,2.0382707725050544
1,3080,2.068429633552272
1,3094,2.099066466941565
1,3107,2.1279453659803647
1,3121,2.1595117607579875
1,3135,2.191563972971604
1,3149,2.224104471947279
1,3163,2.257135615502528
1,3177,2.2906596470222054
1,3191,2.3246786925624923
1,3204,2.3567128010869336
1,3218,2.3916920735512663
1,3232,2.427171884495663
1,3246,2.4631538716576795
1,3260,2.4996395417007307
1,3274,2.5366302675565517
1,3288,2.5741272858203033
1,3302,2.6121316942019313
1,3315,2.647876661397653
1,3329,2.686862182880999
1,3343,2.726357487032658
1,3357,2.766363102465607
1,3371,2.806879407291225
1,3385,2.8479066269787445
1,3399,2.8894448322959505
1,3413,2.931493937334599
1,3426,2.9709967874597645
1,3440,3.0140303685843195
1,3454,3.057573679147686
1,3468,3.101626000346977
1,3482,3.1461864483238866
1,3496,3.191253972761263
1,3510,3.2368273555869376
