reg,conc,sim
1,1.4802973661668753e-16,9950
1,0.004504504504504653,9950
1,0.009009009009009156,9949
1,0.013513513513513662,9949
1,0.018018018018018167,9948
1,0.02252252252252267,9946
1,0.027027027027027178,9945
1,0.031531531531531674,9943
1,0.03603603603603618,9940
1,0.04054054054054069,9937
1,0.04504504504504519,9934
1,0.049549549549549696,9931
1,0.0540540540540542,9927
1,0.0585585585585587,9922
1,0.06306306306306321,9918
1,0.06756756756756772,9912
1,0.07207207207207222,9907
1,0.07657657657657672,9901
1,0.08108108108108124,9895
1,0.08558558558558574,9888
1,0.09009009009009024,9881
1,0.09459459459459475,9873
1,0.09909909909909925,9866
1,0.10360360360360375,9857
1,0.10810810810810827,9849
1,0.11261261261261277,9840
1,0.11711711711711727,9830
1,0.12162162162162177,9820
1,0.12612612612612625,9810
1,0.13063063063063077,9799
1,0.13513513513513528,9788
1,0.13963963963963977,9777
1,0.14414414414414428,9765
1,0.1486486486486488,9753
1,0.15315315315315328,9740
1,0.1576576576576578,9727
1,0.1621621621621623,9714
1,0.1666666666666668,9700
1,0.1711711711711713,9686
1,0.17567567567567582,9671
1,0.1801801801801803,9657
1,0.18468468468468482,9641
1,0.18918918918918934,9626
1,0.19369369369369382,9610
1,0.19819819819819834,9594
1,0.20270270270270285,9577
1,0.20720720720720734,9560
1,0.21171171171171185,9543
1,0.21621621621621637,9525
1,0.22072072072072085,9507
1,0.22522522522522537,9489
1,0.22972972972972985,9470
1,0.23423423423423437,9451
1,0.23873873873873888,9432
1,0.24324324324324337,9413
1,0.24774774774774788,9393
1,0.2522522522522524,9373
1,0.2567567567567569,9352
1,0.2612612612612614,9332
1,0.26576576576576594,9311
1,0.27027027027027045,9289
1,0.27477477477477497,9268
1,0.2792792792792794,9246
1,0.28378378378378394,9224
1,0.28828828828828845,9202
1,0.29279279279279297,9179
1,0.2972972972972975,9156
1,0.30180180180180194,9133
1,0.30630630630630645,9110
1,0.31081081081081097,9087
1,0.3153153153153155,9063
1,0.31981981981982,9039
1,0.3243243243243245,9015
1,0.32882882882882897,8991
1,0.3333333333333335,8966
1,0.337837837837838,8942
1,0.3423423423423425,8917
1,0.346846846846847,8892
1,0.35135135135135154,8866
1,0.355855855855856,8841
1,0.3603603603603605,8816
1,0.364864864864865,8790
1,0.36936936936936954,8764
1,0.37387387387387405,8738
1,0.37837837837837857,8712
1,0.382882882882883,8686
1,0.38738738738738754,8659
1,0.39189189189189205,8633
1,0.39639639639639657,8606
1,0.4009009009009011,8580
1,0.4054054054054056,8553
1,0.40990990990991005,8526
1,0.41441441441441457,8499
1,0.4189189189189191,8472
1,0.4234234234234236,8445
1,0.4279279279279281,8418
1,0.4324324324324326,8390
1,0.4369369369369371,8363
1,0.4414414414414416,8336
1,0.4459459459459461,8308
1,0.4504504504504506,8281
1,0.45495495495495514,8253
1,0.4594594594594596,8226
1,0.4639639639639641,8198
1,0.4684684684684686,8170
1,0.47297297297297314,8143
1,0.47747747747747765,8115
1,0.48198198198198217,8087
1,0.4864864864864866,8060
1,0.49099099099099114,8032
1,0.49549549549549565,8004
1,0.5000000000000001,7977
1,0.5045045045045046,7949
1,0.5090090090090091,7921
1,0.5135135135135136,7893
1,0.5180180180180182,7866
1,0.5225225225225226,7838
1,0.5270270270270271,7811
1,0.5315315315315317,7783
1,0.5360360360360361,7756
1,0.5405405405405407,7728
1,0.5450450450450451,7701
1,0.5495495495495497,7673
1,0.5540540540540542,7646
1,0.5585585585585586,7618
1,0.5630630630630632,7591
1,0.5675675675675677,7564
1,0.5720720720720722,7537
1,0.5765765765765767,7510
1,0.5810810810810811,7483
1,0.5855855855855857,7456
1,0.5900900900900902,7429
1,0.5945945945945947,7402
1,0.5990990990990992,7376
1,0.6036036036036037,7349
1,0.6081081081081082,7322
1,0.6126126126126127,7296
1,0.6171171171171173,7270
1,0.6216216216216217,7243
1,0.6261261261261263,7217
1,0.6306306306306307,7191
1,0.6351351351351352,7165
1,0.6396396396396398,7139
1,0.6441441441441442,7113
1,0.6486486486486488,7088
1,0.6531531531531533,7062
1,0.6576576576576577,7036
1,0.6621621621621623,7011
1,0.6666666666666667,6986
1,0.6711711711711713,6961
1,0.6756756756756758,6936
1,0.6801801801801803,6911
1,0.6846846846846848,6886
1,0.6891891891891893,6861
1,0.6936936936936938,6836
1,0.6981981981981983,6812
1,0.7027027027027029,6788
1,0.7072072072072073,6763
1,0.7117117117117118,6739
1,0.7162162162162163,6715
1,0.7207207207207208,6691
1,0.7252252252252254,6668
1,0.7297297297297298,6644
1,0.7342342342342343,6620
1,0.7387387387387389,6597
1,0.7432432432432433,6574
1,0.7477477477477479,6551
1,0.7522522522522523,6528
1,0.7567567567567569,6505
1,0.7612612612612614,6482
1,0.7657657657657658,6459
1,0.7702702702702704,6437
1,0.7747747747747749,6415
1,0.7792792792792794,6392
1,0.7837837837837839,6370
1,0.7882882882882883,6348
1,0.7927927927927929,6327
1,0.7972972972972974,6305
1,0.8018018018018019,6283
1,0.8063063063063064,6262
1,0.810810810810811,6241
1,0.8153153153153154,6219
1,0.8198198198198199,6198
1,0.8243243243243245,6177
1,0.8288288288288289,6157
1,0.8333333333333335,6136
1,0.8378378378378379,6116
1,0.8423423423423424,6095
1,0.846846846846847,6075
1,0.8513513513513514,6055
1,0.855855855855856,6035
1,0.8603603603603605,6015
1,0.864864864864865,5995
1,0.8693693693693695,5976
1,0.8738738738738739,5956
1,0.8783783783783785,5937
1,0.882882882882883,5918
1,0.8873873873873875,5899
1,0.891891891891892,5880
