reg,ros,sim
1,1926,2.5121504043040535
1,1942,2.5121540072950093
1,1958,2.5121578799130626
1,1974,2.5121620398807973
1,1991,2.512166795663376
1,2007,2.512171608619197
1,2023,2.5121767696675175
1,2040,2.512182659448432
1,2056,2.512188609650677
1,2072,2.5121949795802587
1,2089,2.5122022366517145
1,2105,2.5122095559948474
1,2121,2.5122173792127627
1,2138,2.512226277605635
1,2154,2.5122352381288504
1,2170,2.512244801001196
1,2187,2.5122556613907334
1,2203,2.5122665810479896
1,2219,2.512278217881205
1,2236,2.512291414180363
1,2252,2.51230466327645
1,2268,2.512318762983299
1,2285,2.5123347296843184
1,2301,2.5123507380350807
1,2317,2.5123677515444545
1,2334,2.51238699187269
1,2350,2.5124062567507215
1,2366,2.512426705223634
1,2383,2.5124498001710203
1,2399,2.5124728951013156
1,2415,2.512497379018568
1,2432,2.5125249973274064
1,2448,2.5125525818005046
1,2464,2.5125817909905477
1,2481,2.5126147001614636
1,2497,2.5126475303345615
1,2513,2.5126822550129333
1,2530,2.512721333413806
1,2546,2.5127602738730053
1,2562,2.512801416767328
1,2579,2.5128476669226707
1,2595,2.5128937035819168
1,2611,2.512942293218714
1,2628,2.5129968563612275
1,2644,2.5130511105754794
1,2660,2.5131083158068748
1,2677,2.513172487774636
1,2693,2.5132362317462165
1,2709,2.5133033775957934
1,2726,2.513378626159567
1,2742,2.5134532997173693
1,2758,2.5135318846249115
1,2775,2.513619868330231
1,2791,2.5137070971612774
1,2807,2.5137988117055987
1,2824,2.513901400313312
1,2840,2.5140030157248594
1,2856,2.514109762902211
1,2873,2.514229059508876
1,2889,2.5143471197965876
1,2905,2.5144710369289367
1,2922,2.5146094018444436
1,2938,2.5147462153377806
1,2954,2.5148896976802595
1,2971,2.515049774134022
1,2987,2.515207923983577
1,3003,2.5153736500932196
1,3020,2.5155583918317603
1,3036,2.5157407625943704
1,3052,2.515931721512451
1,3069,2.516144422339736
1,3085,2.5163542284053566
1,3101,2.5165737486927093
1,3118,2.516818073989595
1,3134,2.5170588898785593
1,3150,2.517310670526631
1,3166,2.5175738530456586
1,3183,2.5178664833064275
1,3199,2.518154626525815
1,3215,2.5184556042080484
1,3232,2.5187900151467217
1,3248,2.519119061008865
1,3264,2.519462524707362
1,3281,2.519843869982643
1,3297,2.5202188328583546
1,3313,2.5206099599982585
1,3330,2.521043923897387
1,3346,2.52147033059712
1,3362,2.5219148238434212
1,3379,2.5224076629257675
1,3395,2.5228915923999717
1,3411,2.523395719827581
1,3428,2.5239543060941703
1,3444,2.5245024304967614
1,3460,2.5250730670457564
1,3477,2.525704932380725
1,3493,2.5263245592334753
1,3509,2.5269692291637442
1,3526,2.527682610716854
1,3542,2.5283817258364
1,3558,2.52910864581594
1,3575,2.529912531906072
1,3591,2.5306998426670617
1,3607,2.5315179650359356
1,3624,2.53242214105276
1,3640,2.5333071194595727
1,3656,2.5342261751059514
1,3673,2.535241268769913
1,3689,2.5362341936944377
1,3705,2.5372647338596184
1,3722,2.5384022590681714
1,3738,2.53951425688184
1,3754,2.540667693077044
1,3771,2.541940091417415
1,3787,2.5431831741018014
1,3803,2.5444718151709558
1,3820,2.5458924940166736
1,3836,2.5472795936787898
1,3852,2.548716678878807
1,3869,2.550300044809631
1,3885,2.55184504335654
1,3901,2.5534447701511316
1,3918,2.5552062562454125
1,3934,2.5569240087898235
1,3950,2.5587015538667304
1,3967,2.560657639214412
1,3983,2.5625639895914407
1,3999,2.5645355214195837
1,4016,2.5667037409970317
1,4032,2.5688155275766262
1,4048,2.5709982086238146
1,4065,2.5733971514641683
1,4081,2.5757322012497568
1,4097,2.5781441777898157
1,4114,2.5807934711821363
1,4130,2.583370580001649
1,4146,2.5860309572605686
1,4163,2.588951234527543
1,4179,2.5917901309580227
1,4195,2.5947189311926926
1,4212,2.5979317804421598
1,4228,2.601053070975957
1,4244,2.6042711719592586
1,4261,2.607799063094073
1,4277,2.611224155967811
1,4293,2.6147532072857347
1,4310,2.6186193945067973
1,4326,2.6223703995909
1,4342,2.626232714158774
1,4358,2.63020877482382
1,4375,2.6345607134329594
1,4391,2.638779131728641
1,4407,2.6431188415983193
1,4424,2.647865461210624
1,4440,2.6524631859239975
1,4456,2.657189824898703
1,4473,2.6623559202470086
1,4489,2.6673563193792775
1,4505,2.672493261278302
1,4522,2.6781036446718867
1,4538,2.683530021606225
1,4554,2.689100493239169
1,4571,2.6951797264570336
1,4587,2.701055056183051
1,4603,2.7070818624823696
1,4620,2.713653952613682
1,4636,2.7200005841362134
